PTO_num,TypeVoieImmeuble,NomVoieImmeuble,NumeroVoieImmeuble,BatimentImmeuble,BatimentImmeuble2,EtatImmeuble,EtatImmeuble2,NbreLgts,Type,RefPM,IPE_X,IPE_Y,PARCELLE,WSG84_LONG,WSG84_LAT
,CHE,DES CRETS,250,A,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,935984.37753317,6580505.0040346,AA0001,46.28319869,6.065714705
LI-3130-0974,IMP,DE L'ANCIEN CHATEAU,175,B,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-0AG8,IMP,DE L'ANCIEN CHATEAU,175,B,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-03X0,IMP,DE L'ANCIEN CHATEAU,177,E,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-0A80,IMP,DE L'ANCIEN CHATEAU,177,E,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-0821,IMP,DE L'ANCIEN CHATEAU,179,F,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-07Y6,IMP,DE L'ANCIEN CHATEAU,181,G,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-0A7M,IMP,DE L'ANCIEN CHATEAU,181,G,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936121.02234345,6580493.2506333,AA0024,46.28304516,6.067482168
LI-3130-082D,IMP,DE L'ANCIEN CHATEAU,130,D,,DEPLOYE,DEPLOYE,1,PAVILLON,NRO_01313_00012,936156.14932385,6580446.4805513,AA0025,46.28261204,6.067914454
LI-3130-09GK,IMP,DE L'ANCIEN CHATEAU,138,,LOT 4,CIBLE,CIBLE,1,PAVILLON,NRO_01313_00012,936171.2866,6580498.4798,AA0071,46.28307463,6.06813714
,IMP,DE L'ANCIEN CHATEAU,132,,LOT 1,CIBLE,CIBLE,1,PAVILLON,NRO_01313_00012,936161.5283,6580483.6798,AA0072,46.28294488,6.068003029
,IMP,DE L'ANCIEN CHATEAU,136,,LOT 3,CIBLE,CIBLE,1,PAVILLON,NRO_01313_00012,936191.9897,6580486.9241,AA0075,46.28296341,6.068399996
,IMP,DE L'ANCIEN CHATEAU,134,,LOT 2,CIBLE,CIBLE,1,PAVILLON,NRO_01313_00012,936183.8903,6580471.9825,AA0074,46.2828318,6.068287342
